pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,keyEnd.keys,keyEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,11.015998200047761,11.015998200047761,11.015998200047761,1.4699074074074072,64.5210254000267,space,146.71330129995476,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,,,,,,,,,,,,,,,,,,,,,157.76494499994442,157.76494499994442,space,31.435708999983035,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
pink.png,2,,,,,,0,0,0,1,,,,,192.36524620000273,192.36524620000273,192.36524620000273,2.048611111111111,6.333542800042778,space,16.88387700007297,,,,,189.2319021000294,189.23182792002336,190.3485472999746,190.3485472999746,192.36524620000273,209.28218600002583,234.26589919999242,234.26589901996778,234.2825817000121,239.26598919997923,,,,,,,,,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
pink.png,6,,,,,,0,1,1,2,,,,,246.33278329996392,246.33278329996392,246.33278329996392,4.791666666666666,2.200168399955146,space,13.508942499989644,,,,,239.26598919997923,239.26598162001466,240.31592880003154,240.31592880003154,246.33278329996392,259.88299710000865,284.86669339996297,284.8666817199672,284.8834015999455,289.86677550000604,,,,,,,,,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
pink.png,4,,,,,,0,2,2,0,,,,,294.9335609000409,294.9335609000409,294.9335609000409,2.9398148148148144,3.133465199964121,space,10.555960500030778,,,,,289.86677550000604,289.8667921199929,290.9167996000033,290.9167996000033,294.9335609000409,305.51702429994475,330.5007893999573,330.5007777199615,330.5174609000096,335.500872900011,,,,,,,,,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.500872900011,335.500872900011,space,14.500341900042258,,,,,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pnegative_high_1300.jpg,3,0.1552196,0,0.4,,,,,0,0,0,9,354.08417279995047,354.08417279995047,354.08417279995047,2.6967592592592595,2.5670606000348926,space,9.437536099925637,,,,,350.0177734999452,350.01777901996394,351.0680633999873,,,363.5679495000513,388.5517138999421,388.55170891999734,388.5683799999533,393.5518037000438,,,,,351.0680633999873,351.16778390004765,352.167328099953,354.08417279995047,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pneutral_7950.jpg,7,0.0561269,0.7,0,,,,,0,1,1,3,401.60147049999796,401.60147049999796,401.60147049999796,5.763888888888888,3.31690599990543,space,13.071407700073905,,,,,393.5518037000438,393.55180921994616,394.58514490001835,,,414.7187963000033,439.70252699998673,439.70247851994355,439.7191986000398,444.70261929999106,,,,,394.58514490001835,394.61847200000193,395.6180399999721,401.60147049999796,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\positive_high_8492.jpg,1,0.1384903,0,-0.4,,,,,0,2,2,16,446.8688518999843,446.8688518999843,446.8688518999843,0.9722222222222223,4.283588099991903,space,11.132163200061768,,,,,444.70261929999106,444.70259942004924,445.73589280003216,,,458.019053200027,483.00321480003186,483.00316972001457,483.01988269994035,488.00329320004676,,,,,445.73589280003216,445.8526241000509,446.8688518999843,446.7355243000202,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
,,emo_pic\pnegative_high_1120.jpg,7,0.0561269,0.7,0,,,,,0,3,3,11,496.0363078999799,496.0363078999799,496.0363078999799,5.914351851851852,2.416818300029263,space,12.318159199901856,,,,,488.00329320004676,488.00324922003784,489.0199787999736,,,508.3864852000261,533.3709662000183,533.370673619979,533.3873106000246,538.370761499973,,,,,489.0199787999736,489.0699756999966,490.06953700003214,496.0363078999799,,,,,003,001,2023-05-31_14h28.38.654,time_exp,2022.2.5,60.00646869069533,
