pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,51.35436470003333,51.35436470003333,51.35436470003333,4.5949074074074066,89.75023400003556,space,160.27175790001638,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,,,,,,,,,,,,,,,,,,,,,211.6653393000597,211.6653393000597,space,1.464322799933143,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
pink.png,2,,,,,,0,0,0,1,,,,,216.26521660003345,216.26521660003345,216.26521660003345,2.2569444444444446,4.766944600036368,space,29.984795800060965,,,,,213.14850250002928,213.14848003996303,214.24851860001218,214.24851860001218,216.26521660003345,246.2823614999652,271.26609309995547,271.2660839399905,271.28272260003723,276.26616899995133,,,,,,,,,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
pink.png,6,,,,,,0,1,1,2,,,,,283.3162808000343,283.3162808000343,283.3162808000343,5.590277777777778,3.3002364999847487,space,21.461865599965677,,,,,276.26616899995133,276.26615593995666,277.29951779998373,277.29951779998373,283.3162808000343,304.7999225000385,329.78365290001966,329.7836679400061,329.80032020004,334.7837620000355,,,,,,,,,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
pink.png,4,,,,,,0,2,2,0,,,,,339.83382020005956,339.83382020005956,339.83382020005956,3.136574074074074,3.533540099975653,space,13.649434400023893,,,,,334.7837620000355,334.7837500400492,335.81708529999014,335.81708529999014,339.83382020005956,353.5174070999492,378.50112839997746,378.50108123995597,378.5177899999544,383.5012071999954,,,,,,,,,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.5012071999954,383.5012071999954,space,1.9963449999922886,,,,,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\pnegative_low_6010.jpg,3,0.1552196,0,0.4,,,,,0,0,0,5,389.5843152999878,389.5843152999878,389.5843152999878,2.6504629629629632,4.700408500037156,space,20.153645500075072,,,,,385.5178817999549,385.51786334003555,386.5681818999583,,,409.76829569996335,434.7520259000594,434.7520077400259,434.76869000005536,439.7521022000583,,,,,386.5681818999583,386.66788920003455,387.6674919000361,389.5843152999878,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\pnegative_high_1120.jpg,7,0.0561269,0.7,0,,,,,0,1,1,11,447.78523859998677,447.78523859998677,447.78523859998677,4.652777777777778,1.7002245000330731,space,9.456363399978727,,,,,439.7521022000583,439.7520933399792,440.7687881999882,,,457.268730700016,482.25244820001535,482.25240934005706,482.269118300057,487.252515799948,,,,,440.7687881999882,440.8187919999473,441.81835029996,447.78523859998677,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\pneutral_5500.jpg,1,0.1384903,0,-0.4,,,,,0,2,2,0,489.41924409999046,489.41924409999046,489.41924409999046,0.6250000000000002,4.767258399981074,space,13.982740700012073,,,,,487.252515799948,487.252517140063,488.2692092000507,,,503.4364577999804,528.4201867999509,528.420166040014,528.4368461000267,533.4202622000594,,,,,488.2692092000507,488.40254749997985,489.41924409999046,489.2692422999535,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
,,emo_pic\positive_high_8492.jpg,1,0.1384903,0,-0.4,,,,,0,3,3,16,535.5865123999538,535.5865123999538,535.5865123999538,0.7986111111111114,4.2835954000474885,space,12.072506499942392,,,,,533.4202622000594,533.4202466400457,534.4369114000583,,,547.6871595999692,572.6708820000058,572.6708370400011,572.6875504000345,577.6709651000565,,,,,534.4369114000583,534.5702459999593,535.5865123999538,535.4365071000066,,,,,,004,001,2023-05-31_17h32.50.612,time_exp,2022.2.5,60.01601229619099,
