pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,15.778167999931611,15.778167999931611,15.778167999931611,3.0439814814814827,94.32907979993615,space,160.3348167000804,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,,,,,,,,,,,,,,,,,,,,,176.13704509998206,176.13704509998206,space,13.28842330002226,,,,,,,,,,,,,,,,,,,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
pink.png,4,,,,,,0,0,0,0,,,,,194.57069109997246,194.57069109997246,194.57069109997246,5.023148148148148,5.300354299950413,space,13.302680799970403,,,,,189.45392969995737,189.45394618994322,190.55396189994644,190.55396189994644,194.57069109997246,207.92090119991917,232.90463949996047,232.9046417899546,232.92130119993817,237.90472729993053,,,,,,,,,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
pink.png,6,,,,,,0,1,1,2,,,,,244.9548454999458,244.9548454999458,244.9548454999458,6.064814814814815,4.833573800045997,space,17.509898000047542,,,,,237.90472729993053,237.90471858995733,238.93805969995447,238.93805969995447,244.9548454999458,262.50511229992844,287.4892503999872,287.48881078999256,287.50551589997485,292.4889267999679,,,,,,,,,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
pink.png,2,,,,,,0,2,2,1,,,,,295.5389830999775,295.5389830999775,295.5389830999775,3.090277777777778,6.066956999944523,space,27.326553900027648,,,,,292.4889267999679,292.48889378992607,293.52224279998336,293.52224279998336,295.5389830999775,322.88940729992464,347.87310859991703,347.8731376899988,347.88980289991014,352.8731827000156,,,,,,,,,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.8731827000156,352.8731827000156,space,19.129274799954146,,,,,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\pnegative_low_2100.jpg,7,0.0561269,0.7,0,,,,,0,0,0,7,380.0734908999875,380.0734908999875,380.0734908999875,5.023148148148148,3.6002768999896944,space,13.176081500016153,,,,,372.02353229990695,372.02353828992926,373.05713879992254,,,393.2905037999153,418.27426450001076,418.2742678900133,418.2909317999147,423.2743437999161,,,,,373.05713879992254,373.0735433999216,374.07355699990876,380.0734908999875,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\positive_high_8300.jpg,3,0.1552196,0,0.4,,,,,0,1,1,17,427.30729789996985,427.30729789996985,427.30729789996985,2.9745370370370368,3.7169581999769434,space,14.88622630003374,,,,,423.2743437999161,423.2743459900259,424.291026199935,,,442.2413098999532,467.2250423999503,467.22504548995056,467.24171829991974,472.22512590000406,,,,,424.291026199935,424.4410344000207,425.44058049994055,427.30729789996985,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\positive_high_8370.jpg,7,0.0561269,0.7,0,,,,,0,2,2,19,480.2581386999227,480.2581386999227,480.2581386999227,5.99537037037037,2.800207299995236,space,9.98465869994834,,,,,472.22512590000406,472.2251442900044,473.24181269994006,,,490.29207809991203,515.2758091000142,515.2758162899293,515.2924388999818,520.2758917999454,,,,,473.24181269994006,473.2918046999257,474.2913729000138,480.2581386999227,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
,,emo_pic\positive_high_5621.jpg,5,0.1152479,-0.7,0,,,,,0,3,3,18,526.3088667999255,526.3088667999255,526.3088667999255,4.988425925925926,4.450264999992214,space,16.73260330001358,,,,,520.2758917999454,520.2758854899905,521.2925490000052,,,543.076244099997,568.0599401999498,568.0599440899562,568.0766472999239,573.0600555000128,,,,,521.2925490000052,521.3925382000161,522.3921338999644,526.3088667999255,,,006,001,2023-06-01_14h09.53.473,time_exp,2022.2.5,59.98821829405095,
