pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,emopic.stopped,redstar.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,27.120673199999146,27.120673199999146,27.120673199999146,0.0,145.61243149999063,space,152.174973999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,,,,,,,,,,,,,,,,,,,,,179.3266988999676,179.3266988999676,space,4.432653099996969,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
pink.png,6,,,,,,0,0,0,2,,,,,190.89354669989552,190.89354669989552,190.89354669989552,6.944444444444445,2.1335194999119267,space,3.7783485000254586,,,,,183.7767393999966,183.7767260099994,184.87675269995816,184.87675269995816,190.89354669989552,194.7102422999451,219.69400239991955,219.69399510996882,219.71063190000132,224.69417209993117,,,,,,,,,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
pink.png,2,,,,,,0,1,1,1,,,,,227.74413169990294,227.74413169990294,227.74413169990294,2.0023148148148144,4.333644700003788,space,20.288504499942064,,,,,224.69417209993117,224.69404030996375,225.72743709990755,225.72743709990755,227.74413169990294,248.06110719998833,273.0448499999475,273.0448249099776,273.0614836999448,278.04492899996694,,,,,,,,,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
pink.png,4,,,,,,0,2,2,0,,,,,283.0950164999813,283.0950164999813,283.0950164999813,5.0115740740740735,3.766976800048724,space,8.664604200050235,,,,,278.04492899996694,278.0449100099271,279.0782791998936,279.0782791998936,283.0950164999813,291.77847809996456,316.7622025999008,316.7621989099774,316.7788724999409,321.76225809997413,,,,,,,,,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.76225809997413,321.76225809997413,space,17.085408400045708,,,,,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\positive_low_7340.jpg,1,0.1384903,0,-0.4,,,,,0,0,0,12,341.0287987999618,341.0287987999618,341.0287987999618,1.0648148148148144,4.500521800015122,space,17.707106100046076,,,,,338.87922769994475,338.87920340998096,339.9294885999989,,,358.7795472999569,383.76325209997594,383.7632501099491,383.7799387999112,388.7633463999955,,,,,339.9294885999989,340.01256879989523,340.92880899994634,341.0287987999618,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pnegative_low_2520.jpg,5,0.1152479,-0.7,0,,,,,0,1,1,6,394.79631859995425,394.79631859995425,394.79631859995425,6.493055555555555,3.316432200022973,space,23.347167700063437,,,,,388.7633463999955,388.7633294099709,389.78002559999004,,,418.16377179999836,443.14753159997053,443.14751690996343,443.1642016998958,448.1476152999094,,,,,389.78002559999004,389.88002949999645,394.79631859995425,390.87958939990494,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pnegative_high_1201.jpg,5,0.1152479,-0.7,0,,,,,0,2,2,10,454.1807171999244,454.1807171999244,454.1807171999244,5.497685185185185,4.500607599969953,space,25.00355609995313,,,,,448.1476152999094,448.14759210995396,449.1642544999486,,,479.2313610999845,504.2151556999888,504.2151379099581,504.23178679996636,509.215231899987,,,,,449.1642544999486,449.26429969992023,454.1807171999244,450.2639033999294,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pneutral_5500.jpg,1,0.1384903,0,-0.4,,,,,0,3,3,0,511.3814885999309,511.3814885999309,511.3814885999309,1.4699074074074072,4.3337293999502435,space,18.811011699959636,,,,,509.215231899987,509.215216309973,510.2485862999456,,,530.2321893000044,555.2159512999933,555.2159364099847,555.2326137999771,560.2160268999869,,,,,510.2485862999456,510.36524769989774,511.24811109993607,511.3814885999309,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
,,emo_pic\pnegative_high_1300.jpg,3,0.1552196,0,0.4,,,,,0,4,4,9,564.2490994998952,564.2490994998952,564.2490994998952,2.986111111111111,3.8004137000534683,space,21.814883299986832,,,,,560.2160268999869,560.2160147099988,561.2327118999092,,,586.0997324999189,611.0834888999816,611.0834721099585,611.1001525999745,616.0835686998907,,,,,561.2327118999092,561.3826541999588,564.2490994998952,562.3822743999772,,,,,,007,001,2023-06-01_12h49.00.921,time_exp,2022.2.5,60.00909739254882,
